,year,sents
0,1980-81,Presenting the interim Budget in March this year I gave an account of the poor shape of our national economy and the magnitude of the task facing the nation.
1,1980-81,The Economic Survey presented to the House last week confirms the brief review made by me in March.
2,1980-81,"As it gives a detailed account of the present condition of the Indian economy and its problems and prospects, I shall content myself with highlighting only a few aspects in order to give the House an idea of the gravity of the economic problems faced by this Government, the action it has taken so far to solve them and the need for other measures some of which I. shall outline in the course of this speech."
3,1980-81,A fall in agricultural production of about 10 per cent and a reduction of about one per cent in industrial production were responsible for this outcome.
4,1980-81,The setback in agriculture was partly on account of the severe drought which affected large parts of the country.
5,1980-81,The decline in industrial production was mainly the result of a serious deterioration in the infrastructure.
6,1980-81,"The performance of power, coal and railway sectors was one of the most serious deficiencies m the economic scene."
7,1980-81,No doubt the drought was responsible for a decline of 2.2 per cent in hydel production but what stands out is the inability to meet increased demand through increased thermal generation despite substantial additions made to generating capacity in the past three years.
8,1980-81,"Inadequate supply of coal and its poor quality, poor maintenance, equipment damage resulting in increasing planned and unplanned outages and poor management were responsible for the decline in the percentage of thermal capacity utilisation to as low as 45 per cent."
9,1980-81,In coal again it was the same story.
10,1980-81,"Despite massive investments the production of coal and lignite in 197980 was just 106 million tonnes, marginally better than the level reached four years ago."
11,1980-81,The poor performance of DVC and the failure to maintain law and order in the coal mining areas of Bihar and Bengal contributed to the setback in coal production.
12,1980-81,At the same time coal could not be transported to thermal stations in adequate quantities because of difficulties in railway movement.
13,1980-81,In 197980 the revenue earning traffic of the Railways in terms of tonnes 1 I rise to present the regular Budget for the year 198081.
14,1980-81,The performance of the Railways in terms of tonnes originating of revenue earning traffic has been declining continuously since the peak reached in 197677.
15,1980-81,"The deficiencies in the three sectors, power, coal and railways, reinforced me another and inflicted severe damage on the national economy."
16,1980-81,"With the serious deficiencies in infrastructure it was not surprising that there was a fall in the production of major commodities like steel, cement, nonelectrical machinery, aluminium and other nonferrous metals and cotton textiles."
17,1980-81,Sugar production also fell by 28 per cent.
18,1980-81,There was a decline in capacity utilisation in industry in general.
19,1980-81,"In a situation in which aggregate supply dropped sharply, there was a steep rise in prices."
20,1980-81,In the fiscal year 197980 prices rose by 20 per cent.
21,1980-81,"In some commodities like sugar, gur, khandsari, oilseeds and edible oils the rise was particularly steep."
22,1980-81,There was also a persistent upward trend in a wide range of manufactures and intermediates owing to the low level of production.
23,1980-81,"The direct and indirect effects of the increases in the prices of crude oil and oil products also contributed to the inflationary pressures in the economy as also the long delayed, adjustments in administered prices of commodities like coal and steel."
24,1980-81,This naturally gave rise to speculative expectations and the liquidity in the system due to large expansion of money supply in the previous years aggravated the price situation.
25,1980-81,The other area in which there was a deterioration following from all these factors was the balance of payments.
26,1980-81,It is true that our overall foreign exchange reserves declined by only Rs 56 crores in 197980 but the trend in the various forces operating m the balance of payments has been reversed perceptibly.
27,1980-81,Export growth in value terms has only been 8 per cent or so which means there was hardly any growth in terms of volume as world inflation has proceeded at about 10 per cent in 197980.
28,1980-81,On the other hand imports have increased by about 25 per cent principally on account of increased oil bill because of steep rise in the prices of oil and oil products and the consequential impact on other imports such as fertilizer.
29,1980-81,"The result is that the trade gap in 197980 was Rs 2232 crores, double the size of the trade deficit in 197879."
30,1980-81,This has led to a deficit on the current account.
31,1980-81,The rate of growth of remittances which has in the recent past turned the trade deficit into a surplus on current account also decelerated in 197980.
32,1980-81,Such a dismal economic situation was to a large extent the result of the policies  or should I say lack of policies  of the previous Government.
33,1980-81,"For instance, vacillations in sugar policy contributed to a fall in the area under sugarcane, decline in sugar production and the frittering away of large stocks of sugar carried over from previous seasons through releases which could not be sustained over a period."
34,1980-81,"Had they pursued a more responsible policy on sugar, we would not have been in the unenviable position of having to import sugar for domestic consumption."
35,1980-81,"In infrastructure the lack of coordinated policy in the three sectors of coal, transport and power was responsible for their unsatisfactory performance."
36,1980-81,The large Budget deficit of Rs 2700 crores in an economy flush with liquidity and a policy of sweeping taxation m articles of common consumption in a situation of declining production were responsible for the spurt in prices.
37,1980-81,"Finally, the lack of adequate emphasis on export promotion was partially responsible for the reversal of the trend in our balance of payments."
38,1980-81,What is important now is to devise ways and means to arrest the deterioration and set the economy on the path of stability and growth.
39,1980-81,"The fact that we have a Government which enjoys the confidence of the people and is decisive should make a qualitative difference; as also the fact that there will be much greater cooperation between the Centre and the States, now that our party has been so enthusiastically returned in the State elections."
40,1980-81,"At the end of May, 1980, we still have food stocks of about 18 million tonnes owing to our earlier foresight."
41,1980-81,"Foreign exchange reserves stood at Rs 4890 crores as on May 30, 1980."
42,1980-81,These elements of strength will be effectively utilised to improve the situation.
43,1980-81,But the House should realise that the magnitude and complexity of the.
44,1980-81,"However, the problems are so urgent that we shall tackle them with determination and with the cooperation of all sections of our people."
45,1980-81,Since it came to power this Government has taken a number of steps to correct the deficiencies in the economic system.
46,1980-81,Since restoration of infrastructure brooked no delay Government constituted a Cabinet Committee on infrastructure under my Chairmanship to monitor the situation continuously.
47,1980-81,As power shortages have been an impediment to the growth of production the Committee has devoted a good deal of attention to rectifying the power situation.
48,1980-81,"The Committee wanted to ensure that thermal generation did not suffer for lack of coal and, therefore, decided to make more wagons available for loading coal to thermal stations."
49,1980-81,"As a result the number of wagons loaded daily with coal for thermal stations has gone up from 2900 in January to 3200 in May, 1980."
50,1980-81,Coastal shipping has been revived to supplement movement of coal by rail and is expected to achieve progressively a target of one lakh tonnes per month to meet the needs of western and southern regions.
51,1980-81,"Due to a number of steps taken coal production increased by 9.4 lakh tonnes in April, and 10.4 lakh tonnes in May, 1980 as compared with April and May, 1979."
52,1980-81,There has been a dramatic improvement in the port situation.
53,1980-81,"The number of ships waiting for a berth in Bombay, Calcutta and Madras has come down sharply by May, 1980."
54,1980-81,A good indicator of the improvement in port conditions is the removal of the congestion surcharge for major ports including Bombay and Calcutta from April 1980.
55,1980-81,"As the rainfall during the period October, 1979 to May, 1980 was also deficient causing drought conditions to continue in many States affecting 220 million population, the present Government, immediately after assuming office, mounted relief operations on a massive scale."
56,1980-81,Central teams were deputed to these and other States and an allocation of Rs 150 crores was made for drought relief.
57,1980-81,More than 10 lakh destitutes were provided free food.
58,1980-81,"In addition, about 65 lakh persons were employed daily under the special Food for Work Programme."
59,1980-81,"Government has decided to continue this programme till the end of September, 1980."
60,1980-81,"The existing subsidy on agricultural inputs, including nitrogenous fertilizers, to small and marginal farmers in the monocropped drought affected areas where no rabi crops could be grown has also been extended till the end of March,1981."
61,1980-81,A 12point programme of drought management which provides the basic framework and approach for fighting the drought has been evolved and recommended to the States.
62,1980-81,A large number of rigs have been deployed for sinking wells and a significant percentage of wells bored has proved successful.
63,1980-81,"These steps are expected to bring about permanent improvements in availability of drinking water in the drought affected, States."
64,1980-81,"The demand for petroleum products, particularly diesel, increased during the last few months owing to a number of circumstances including the drought."
65,1980-81,"The problem was compounded by almost total cessation of supplies from January onwards from the four refineries dependent on Assam crude which between them normally produce around 350,000 tonnes of petroleum products per month."
66,1980-81,The situation was tackled with the utmost vigour.
67,1980-81,"Firstly, the maximum quantities of diesel and kerosene were imported between January and April, 1980, 6.2 lakh tonnes of kerosene and 1.1 million tonnes of diesel oil were imported as compared with 4. 7 lakh tonnes and 4.8 lakh tonnes respectively in JanuaryApril 1979."
68,1980-81,"Secondly, the movement of these commodities was speeded pp by all available means."
69,1980-81,The result has been an increase in the level of supplies amounting to 10 per cent compared with the corresponding months in 1979 and avoidance of a possible adverse effect on rabi production due to a diesel shortage.
70,1980-81,With regard to prices Government has taken a number of important steps.
71,1980-81,The coverage of the public distribution system has been widened.
72,1980-81,With regard to edible oils not only has Government undertaken adequate imports but it has also made arrangements to see that a sizable portion of these imports go into direct consumption.
73,1980-81,It is hoped that about 3 lakh tonnes of imported oil will go into direct consumption through the public distribution system and cooperatives.
74,1980-81,"In sugar, Government has activated the disrupted dual pricing system."
75,1980-81,"In keeping with our developmental thrust towards the poorest, the banks have been asked to ensure that a significant proportion of the enlarged priority sector credit will flow to the beneficiaries of the 20Point Economic Programme, which is 4 being revitalised."
76,1980-81,"To further strengthen the linkage between block level development activities and the bank’s credit programmes, the banks have been asked to open by the end of the year, branches at all unbanked block headquarters."
77,1980-81,Honourable Members are aware of the critical role played by our exports in our developmental effort.
78,1980-81,"Therefore, the Government had, over the years, endeavoured to provide all facilities and full encouragement to export promotion efforts."
79,1980-81,"The management of credit and investment finance for export promotion in an increasingly competitive international market is, however, becoming more and more complex."
80,1980-81,There is thus a need for a specialised institution which will become a focal point for all aspects of export credit and which will devote concentrated attention to the needs of the exporting community.
81,1980-81,"Government has, accordingly, decided to set up an Exportimport Bank, to assist the financing of our international trade."
82,1980-81,We hope this specialised institution will give the desired boost to our export promotion efforts.
83,1980-81,In the light of the problems currently facing the economy the tasks to be accomplished are clear enough.
84,1980-81,"As there is a great deal of inflationary potential in the economy, the prime objective of our policy will be to achieve price stability."
85,1980-81,This will have to be done through an increase in aggregate supply and a moderation of aggregate demand.
86,1980-81,"Therefore, we intend to continue our efforts to improve the working of the infrastructure and to augment available facilities with investment wherever necessary."
87,1980-81,"Secondly, the accent will be on utilising existing capacity more effectively, without slackening efforts to increase capacity, to augment supplies of vital commodities like steel, cement, aluminium and fetilizers."
88,1980-81,"This will simultaneously increase production and employment, reduce the need for imports and benefit revenue."
89,1980-81,"With regard to demand management, we shall have to pursue a policy of linking bank credit expansion to productive and priority purposes and check the diversion of funds to speculative ends."
90,1980-81,We will also have to pursue an interest rate policy which will help in the abatement of inflationary pressures without hurting productive activity.
91,1980-81,At the same time profiteers and hoarders intent on exploiting current shortages for personal gain will have to be dealt with sternly.
92,1980-81,Smuggling will have to be countered through Conservation of Foreign Exchange and Prevention of Smuggling Activities Act and other means.
93,1980-81,"Since there is a great deal of liquidity in the system, there is an obvious need to minimise the growth of money supply by keeping the budget deficit at a much lower level than in 197980."
94,1980-81,"This will require a fiscal policy which will reduce wasteful and unnecessary expenditure, invest resources in increasing the economy’s production potential and maximise the revenue potential of the existing tax system."
95,1980-81,In view of deterioration in our balance of payments we will have to emphasise the promotion of exports to a far greater extent than has been done in the past three years.
